Palm_Position_X,Palm_Position_Y,Palm_Position_Z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
5.738261,127.8363,-44.902813
3.8224063,126.674614,-42.78551
-0.6385577,125.50895,-38.251015
-2.409514,125.11429,-36.376663
-4.2494183,124.72826,-34.46731
-6.120285,124.52938,-32.72787
-8.578234,122.815186,-31.263365
-10.605175,122.65253,-29.474808
-12.75602,122.70079,-27.665823
-14.528144,122.643684,-26.153702
-16.126097,122.41557,-24.826149
-17.729456,122.11571,-23.563984
-19.15534,122.03876,-22.406775
-20.549543,121.83504,-21.110989
-22.0532,121.6879,-19.85504
-23.447327,121.50993,-18.761917
-24.84476,121.34064,-17.465824
-26.20497,121.10428,-16.252789
-27.333736,120.86032,-15.083771
-28.420904,120.76327,-13.98013
-29.7729,120.58696,-12.76067
-30.965239,120.55493,-11.629712
-32.146446,120.57859,-10.62558
-33.37458,120.60253,-9.230958
-34.522236,120.401505,-7.9498663
-35.626144,120.29883,-6.9401755
-36.871605,120.1714,-5.9042964
-38.1034,120.03692,-4.9082537
-39.26139,120.10008,-3.6511908
-40.251717,120.258064,-2.965417
-41.31175,120.254974,-2.0742645
-42.4352,120.13292,-0.81315714
-43.424515,120.02219,0.13093182
-44.99229,119.980354,1.4440519
-45.776302,120.05687,2.9689946
-46.674503,119.9174,4.221253
-47.47248,119.837,5.331174
-48.267555,119.63811,6.2888775
-49.08453,119.278625,7.3117986
-49.905743,118.95336,8.275368
-50.37841,118.88249,8.98029
-50.851078,118.86584,10.228964
-51.35596,119.02722,10.9092
-51.86267,119.11419,11.822462
-52.37931,119.22688,12.515256
-52.630043,118.70496,12.64889
-52.763824,118.693245,12.8169155
-53.03297,118.73485,13.238985
-53.13824,118.777664,13.440801
-53.26372,118.86194,13.761284
-53.247654,118.99494,14.030223
-53.194435,119.04813,14.177007
-53.01076,119.147514,14.3023
-52.7512,119.36757,14.444606
-52.43578,119.585434,14.489142
-51.916588,119.83499,14.464077
-51.432278,120.11927,14.244737
-50.77362,120.43277,13.919681
-49.957005,120.771065,13.575937
-48.913124,121.27672,13.024973
-47.907703,121.761444,12.304661
-46.792416,122.21055,11.666405
-45.65083,122.82874,10.938436
-44.48317,123.3066,10.404401
-43.161,123.89003,9.728986
-41.857704,124.28349,9.077897
-40.546192,124.79632,8.338661
-39.072807,125.24335,7.6004367
-37.408928,125.76729,6.6952233
-35.66824,126.29684,5.8927746
-33.837337,127.172615,4.9720707
-31.808044,127.66766,3.9202526
-29.696405,128.26657,2.8725579
-27.64382,128.89844,2.028883
-25.093904,129.47461,0.8480704
-22.60031,129.83882,-0.38815588
-20.082752,130.35945,-1.6141418
-17.699566,130.80199,-2.7396965
-14.847734,131.24942,-3.8174646
-11.9750805,131.81873,-4.95838
-8.686,132.38593,-6.2013683
-5.895782,132.73701,-7.172426
-2.6739872,133.07903,-8.177402
0.26266465,133.48201,-9.251763
3.5389082,133.89919,-10.246864
6.799169,134.20764,-11.15143
10.1778965,134.55208,-12.184514
13.62492,134.93832,-13.153523
16.826408,135.33676,-14.103677
20.172747,135.75612,-14.786822
23.366726,136.05983,-15.505036
26.767069,136.38896,-16.460308
30.051706,136.69629,-17.374416
33.591343,136.97682,-18.112432
37.336277,137.01796,-18.631527
40.54803,137.07553,-19.371262
44.157692,137.1616,-20.220669
47.815502,137.2031,-20.746168
51.331486,137.13821,-21.214746
54.893097,137.01486,-21.713387
58.496437,136.94136,-22.254103
61.650303,136.97392,-22.793781
65.111145,136.85634,-23.1838
68.44164,136.69832,-23.492348
71.86628,136.65741,-23.873957
75.04894,136.39922,-24.240025
78.385666,136.21393,-24.522726
81.49877,135.8912,-24.859177
84.19997,135.429,-25.166672
87.11725,135.02786,-25.415531
89.6896,134.51152,-25.569899
92.16981,134.212,-25.718239
94.9084,133.8714,-25.918407
97.71058,133.67311,-26.050997
100.54874,133.49496,-25.990633
104.16102,134.0083,-25.87497
106.869446,134.01201,-25.98482
109.25096,133.69417,-26.269655
113.107285,134.41565,-26.449238
115.573845,134.8945,-27.120687
116.447044,135.16528,-27.53311
116.91241,134.95663,-27.590954
118.66735,133.40103,-27.93668
119.2624,133.12732,-27.9991
119.92693,132.8355,-28.066969
120.57286,132.93205,-28.110073
121.087776,133.07585,-28.3529
121.34828,132.8362,-28.665148
121.5514,132.662,-28.975477
121.62409,132.59578,-29.24957
121.25691,132.43158,-29.545792
120.5163,131.62854,-30.112633
120.11306,130.79001,-30.734682
118.98503,129.98079,-31.405067
117.98338,129.17738,-32.120087
116.338524,127.31929,-33.378777
114.07015,125.80676,-34.21325
111.4216,124.45982,-34.794464
110.50504,124.46282,-34.903927
108.19941,123.38482,-35.189846
105.5734,122.709465,-35.69127
105.912895,123.417595,-36.155262
103.96221,123.270676,-36.600452
102.90655,123.665016,-36.86276
99.038376,123.1213,-37.19108
95.74079,122.657394,-37.346355
92.578,122.159485,-37.41259
88.45443,121.66569,-37.236454
84.509674,121.24721,-36.818737
80.49389,121.09312,-36.3136
76.19429,121.07144,-35.723656
71.96676,121.10439,-35.22457
67.783325,120.98165,-34.383278
63.377037,120.92307,-33.525333
58.95888,120.976746,-32.51158
54.422188,121.18017,-31.39139
49.624886,121.3407,-30.05808
44.94198,121.47282,-28.588844
40.15208,121.76452,-26.760237
35.29868,122.247604,-24.552042
30.787283,122.69973,-22.305056
26.039124,123.17744,-19.810719
21.448986,123.60635,-17.03306
16.985834,123.97381,-13.975273
12.699959,124.332756,-10.784479
8.614148,124.71649,-7.567133
4.4245048,125.40197,-3.7842245
1.260727,125.850105,0.07101322
-1.9527037,126.179474,4.103648
-5.1296077,126.54705,8.100512
-8.699288,126.95922,11.292686
-10.627577,127.43731,15.929645
-13.386304,128.14511,19.671333
-16.131973,128.9261,22.963673
-18.373537,129.62848,26.716705
-20.499376,130.34563,30.612844
-22.138247,130.89221,34.605972
-23.462536,131.22601,39.313576
-24.273397,131.66977,43.12034
-25.230824,132.39755,47.211254
-25.688086,132.83292,51.77661
-26.303513,133.978,56.10859
-26.894228,134.90198,60.187645
-27.354885,135.70422,63.854507
-27.451462,136.9027,68.160706
-26.95069,137.14809,72.08771
-26.263742,136.92184,75.36868
-25.305698,136.97922,78.4413
-24.505209,136.86624,81.22259
-23.174423,137.22186,84.18201
-22.05671,136.94286,86.64256
-20.239874,136.89223,89.82491
-19.287561,137.02399,92.101845
-18.079084,138.05894,94.70053
-16.515327,138.60347,97.33066
-14.3893795,138.97224,99.5626
-11.659762,138.75937,101.51656
-9.501335,140.03146,103.872055
-6.3125167,138.08037,105.99566
-4.363085,138.78015,107.036644
-1.6187828,139.34457,108.70067
0.7795731,136.21536,109.84051
3.0691168,139.33632,111.75855
5.306344,138.67026,112.22346
8.517439,139.37224,113.77208
11.700834,140.36061,115.151535
14.29216,139.97237,116.04016
16.817451,140.30832,117.21506
19.375252,140.97751,118.13239
22.102112,140.47554,118.62973
24.66025,141.32838,119.86221
27.1658,141.53148,120.42161
29.395164,141.38425,120.91979
31.60632,140.52168,121.14692
33.96993,141.0883,121.66925
35.790497,141.63002,122.37517
38.792927,143.29199,123.30292
40.715572,143.73395,123.527145
42.820557,144.05734,123.59884
44.27065,145.19485,124.09279
47.27097,147.66077,124.32588
49.387062,150.04724,124.64269
50.68612,150.66888,124.4966
51.78169,150.89705,124.3819
52.257217,150.85292,124.42703
53.236122,150.77716,124.52468
54.8719,150.40805,124.692085
55.929558,150.03189,124.737564
56.505882,149.77808,124.64151
57.165554,148.82516,124.02049
57.135525,148.46326,123.4992
57.00993,147.7556,122.89635
56.507843,147.07721,121.76348
55.97002,146.41083,120.82322
